Image Pair,RGB Score,Thermal Score
FLIR_00002,0.8,0.6
FLIR_00003,0.7,0.6
FLIR_00007,0.8,0.6
FLIR_00008,0.7,0.6
FLIR_00004,0.6,0.6
FLIR_00010,0.7,0.3
FLIR_00006,0.8,0.3
FLIR_00011,0.5,0.5
FLIR_00014,0.7,0.6
FLIR_00012,0.8,0.8
FLIR_00015,0.7,0.8
FLIR_00013,0.7,0.8
FLIR_00021,0.8,0.5
FLIR_00019,0.9,0.5
FLIR_00022,0.8,0.3
FLIR_00018,1.0,0.8
FLIR_00016,0.8,0.6
FLIR_00026,0.8,0.6
FLIR_00024,0.7,0.3
FLIR_00025,0.9,0.7
FLIR_00030,0.8,0.8
FLIR_00039,0.6,0.8
FLIR_00035,0.4,0.5
FLIR_00040,0.8,0.3
FLIR_00033,0.5,0.7
FLIR_00049,0.8,0.6
FLIR_00046,0.8,0.9
FLIR_00045,0.5,0.3
FLIR_00051,0.4,0.8
FLIR_00044,0.3,0.6
FLIR_00052,0.9,0.3
FLIR_00054,0.6,Error
FLIR_00055,0.8,0.3
FLIR_00057,0.9,0.5
FLIR_00053,0.4,0.2
FLIR_00056,0.4,0.3
FLIR_00060,0.7,0.8
FLIR_00070,0.6,0.8
FLIR_00058,0.9,0.8
FLIR_00084,0.9,0.2
FLIR_00062,0.5,0.6
FLIR_00089,0.6,0.3
FLIR_00088,0.7,0.3
FLIR_00098,0.5,0.5
FLIR_00095,0.3,0.5
FLIR_00099,0.4,0.2
FLIR_00100,0.7,0.4
FLIR_00091,0.7,0.2
FLIR_00097,0.7,0.5
FLIR_00102,0.7,0.5
FLIR_00103,0.3,0.8
FLIR_00105,0.3,0.8
FLIR_00108,0.2,0.8
FLIR_00111,0.9,0.7
FLIR_00110,0.4,0.4
FLIR_00113,0.3,0.8
FLIR_00112,0.3,0.6
FLIR_00109,0.3,0.6
FLIR_00114,0.3,0.6
FLIR_00115,0.3,0.4
FLIR_00118,0.6,0.8
FLIR_00119,0.8,0.3
