Image Pair,RGB Score,Thermal Score
FLIR0006,0.4,0.4
FLIR0007,0.4,0.3
FLIR0008,0.4,0.4
FLIR0009,0.3,0.3
FLIR0010,0.3,0.5
FLIR0011,0.4,0.4
FLIR0012,0.4,0.4
FLIR0013,0.3,0.3
FLIR0016,0.5,0.5
FLIR0017,0.4,0.5
FLIR0018,0.4,0.5
FLIR0019,0.3,0.5
FLIR0020,0.3,0.4
FLIR0021,0.3,0.5
FLIR0022,0.3,0.3
FLIR0023,0.2,0.4
FLIR0024,0.2,0.4
FLIR0025,0.3,0.4
FLIR0026,0.2,0.4
FLIR0027,0.3,0.6
FLIR0028,0.2,0.5
FLIR0029,0.3,0.4
FLIR0030,0.3,0.4
FLIR0031,0.3,0.5
FLIR0032,0.3,0.4
FLIR0033,0.3,0.4
FLIR0034,0.3,0.3
FLIR0035,0.3,0.3
FLIR0036,0.2,0.4
FLIR0037,0.3,0.4
FLIR0038,0.3,0.4
FLIR0039,0.3,0.3
FLIR0040,0.2,0.4
FLIR0041,0.3,0.4
FLIR0042,0.3,0.4
FLIR0043,0.3,0.4
FLIR0044,0.3,0.4
FLIR0045,0.2,0.4
FLIR0046,0.3,0.4
FLIR0047,0.3,0.4
FLIR0048,0.3,0.4
FLIR0049,0.3,0.4
FLIR0050,0.3,0.4
FLIR0051,0.3,0.5
FLIR0052,0.3,0.5
FLIR0053,0.3,0.5
FLIR0054,0.3,0.5
FLIR0055,0.3,0.4
FLIR0056,0.3,0.5
FLIR0057,0.3,0.4
FLIR0058,0.3,0.4
FLIR0059,0.3,0.4
FLIR0060,0.4,0.5
FLIR0061,0.3,0.4
FLIR0062,0.4,0.5
FLIR0063,0.3,0.4
FLIR0064,0.4,0.6
FLIR0065,0.4,0.6
FLIR0066,0.3,0.6
FLIR0067,0.3,0.6
FLIR0068,0.3,0.4
FLIR0069,0.3,0.4
FLIR0070,0.3,0.6
FLIR0071,0.3,0.5
FLIR0072,0.3,0.5
FLIR0073,0.3,0.6
FLIR0074,0.3,0.3
FLIR0075,0.2,0.3
FLIR0076,0.3,0.6
FLIR0077,0.3,0.6
FLIR0078,0.3,0.6
FLIR0079,0.3,0.5
FLIR0080,0.3,0.5
FLIR0081,0.3,0.5
FLIR0082,0.2,0.5
FLIR0083,0.3,0.4
FLIR0084,0.3,0.5
FLIR0085,0.3,0.4
FLIR0086,0.3,0.4
FLIR0087,0.3,0.5
FLIR0089,0.3,0.3
FLIR0090,0.3,0.5
FLIR0091,0.4,0.4
FLIR0093,0.4,0.4
FLIR0094,0.4,0.4
FLIR0095,0.3,0.4
FLIR0096,0.3,0.3
FLIR0097,0.3,0.4
FLIR0098,0.4,0.4
FLIR0099,0.3,0.6
FLIR0100,0.3,0.4
FLIR0101,0.3,0.6
FLIR0102,0.3,0.6
FLIR0103,0.2,0.4
FLIR0104,0.3,0.6
FLIR0105,0.3,0.6
FLIR0106,0.4,0.5
FLIR0107,0.3,0.4
FLIR0108,0.3,0.6
FLIR0109,0.3,0.6
FLIR0110,0.3,0.3
FLIR0111,0.3,0.4
FLIR0112,0.2,0.4
FLIR0113,0.2,0.4
FLIR0114,0.2,0.4
FLIR0115,0.3,0.3
FLIR0116,0.3,0.4
FLIR0117,0.3,0.4
FLIR0118,0.3,0.4
FLIR0119,0.3,0.4
FLIR0120,0.3,0.3
FLIR0121,0.3,0.3
FLIR0122,0.2,0.4
FLIR0123,0.3,0.4
FLIR0124,0.3,0.4
FLIR0125,0.3,0.3
FLIR0126,0.3,0.3
FLIR0128,0.3,0.3
FLIR0129,0.3,0.4
FLIR0130,0.2,0.3
FLIR0131,0.3,0.3
FLIR0132,0.4,0.6
FLIR0133,0.4,0.4
FLIR0134,0.4,0.5
FLIR0135,0.4,0.5
FLIR0136,0.3,0.4
FLIR0137,0.2,0.4
FLIR0138,0.2,0.3
FLIR0139,0.3,0.3
FLIR0140,0.3,0.3
FLIR0141,0.3,0.4
FLIR0142,0.4,0.5
FLIR0143,0.3,0.6
FLIR0144,0.3,0.4
FLIR0145,0.3,0.5
FLIR0146,0.3,0.4
FLIR0147,0.3,0.5
FLIR0148,0.2,0.6
FLIR0149,0.3,0.6
FLIR0150,0.4,0.4
FLIR0151,0.4,0.4
FLIR0152,0.3,0.4
FLIR0153,0.4,0.4
FLIR0154,0.4,0.4
FLIR0155,0.4,0.5
FLIR0156,0.4,0.4
FLIR0157,0.3,0.4
FLIR0158,0.3,0.5
FLIR0159,0.3,0.4
FLIR0160,0.3,0.4
FLIR0161,0.4,0.5
FLIR0162,0.3,0.4
FLIR0163,0.3,0.5
FLIR0164,0.3,0.5
FLIR0165,0.3,0.4
FLIR0166,0.3,0.5
FLIR0168,0.3,0.6
FLIR0169,0.4,0.5
FLIR0170,0.3,0.6
FLIR0171,0.4,0.4
FLIR0172,0.3,0.4
FLIR0173,0.3,0.4
FLIR0174,0.3,0.4
FLIR0175,0.3,0.6
FLIR0176,0.3,0.4
FLIR0177,0.3,0.4
FLIR0178,0.3,0.4
FLIR0179,0.3,0.4
FLIR0180,0.3,0.4
FLIR0181,0.3,0.5
FLIR0182,0.3,0.5
FLIR0183,0.3,0.4
FLIR0184,0.3,0.4
FLIR0185,0.3,0.4
FLIR0186,0.2,0.3
FLIR0187,0.4,0.4
FLIR0188,0.4,0.4
FLIR0189,0.3,0.5
FLIR0190,0.3,0.4
FLIR0191,0.3,0.4
FLIR0192,0.3,0.5
FLIR0194,0.3,0.5
FLIR0195,0.3,0.6
FLIR0196,0.3,0.4
FLIR0197,0.3,0.4
FLIR0198,0.3,0.6
FLIR0199,0.3,0.4
FLIR0200,0.3,0.4
FLIR0201,0.3,0.4
FLIR0202,0.3,0.5
FLIR0203,0.3,0.4
FLIR0204,0.3,0.5
FLIR0205,0.3,0.4
FLIR0206,0.3,0.4
FLIR0207,0.4,0.5
FLIR0208,0.3,0.4
FLIR0209,0.3,0.4
FLIR0210,0.3,0.5
FLIR0211,0.3,0.4
FLIR0212,0.3,0.5
FLIR0213,0.3,0.5
FLIR0214,0.4,0.4
FLIR0215,0.4,0.6
FLIR0216,0.4,0.6
FLIR0217,0.3,0.4
FLIR0218,0.4,0.4
FLIR0219,0.3,0.4
FLIR0220,0.3,0.6
FLIR0221,0.3,0.4
FLIR0222,0.3,0.4
FLIR0223,0.3,0.6
FLIR0224,0.3,0.4
FLIR0225,0.3,0.4
FLIR0226,0.3,0.5
FLIR0227,0.3,0.4
FLIR0228,0.3,0.5
FLIR0229,0.3,0.4
FLIR0230,0.3,0.5
FLIR0231,0.3,0.5
FLIR0232,0.3,0.4
FLIR0233,0.4,0.4
FLIR0234,0.4,0.5
FLIR0235,0.3,0.4
FLIR0236,0.3,0.5
FLIR0237,0.3,0.5
FLIR0238,0.4,0.4
FLIR0239,0.3,0.5
FLIR0240,0.3,0.6
FLIR0241,0.3,0.4
FLIR0242,0.3,0.4
FLIR0243,0.3,0.4
FLIR0244,0.3,0.4
FLIR0245,0.3,0.5
FLIR0246,0.3,0.5
FLIR0247,0.3,0.4
FLIR0248,0.2,0.3
FLIR0249,0.3,0.5
FLIR0250,0.3,0.5
FLIR0251,0.2,0.2
FLIR0252,0.2,0.3
FLIR0253,0.2,0.3
FLIR0254,0.3,0.4
FLIR0255,0.2,0.5
FLIR0256,0.1,0.3
FLIR0257,0.2,0.3
FLIR0258,0.2,0.4
FLIR0259,0.2,0.4
FLIR0260,0.2,0.4
FLIR0261,0.1,0.2
FLIR0262,0.2,0.4
FLIR0263,0.2,0.2
FLIR0264,0.2,0.3
FLIR0265,0.3,0.4
FLIR0266,0.2,0.4
FLIR0267,0.1,0.2
FLIR0268,0.3,0.4
FLIR0269,0.2,0.4
FLIR0270,0.3,0.3
FLIR0271,0.2,0.4
FLIR0272,0.2,0.4
FLIR0273,0.1,0.4
FLIR0274,0.3,0.3
FLIR0275,0.3,0.3
FLIR0276,0.2,0.4
FLIR0277,0.2,0.2
FLIR0279,0.3,0.3
FLIR0280,0.2,0.3
FLIR0281,0.2,0.3
FLIR0282,0.3,0.3
FLIR0283,0.2,0.3
FLIR0284,0.2,0.3
FLIR0285,0.1,0.3
FLIR0286,0.2,0.4
FLIR0287,0.3,0.3
FLIR0288,0.3,0.3
FLIR0289,0.2,0.4
FLIR0290,0.2,0.4
FLIR0291,0.1,0.4
FLIR0292,0.3,0.4
FLIR0293,0.3,0.4
FLIR0294,0.3,0.5
FLIR0295,0.2,0.6
FLIR0296,0.2,0.5
FLIR0297,0.2,0.4
FLIR0298,0.2,0.2
FLIR0301,0.2,0.2
FLIR0302,0.2,0.2
FLIR0303,0.2,0.4
FLIR0304,0.2,0.3
FLIR0305,0.3,0.3
FLIR0306,0.2,0.2
FLIR0307,0.2,0.2
FLIR0308,0.2,0.2
FLIR0310,0.2,0.2
FLIR0311,0.3,0.2
FLIR0312,0.2,0.3
FLIR0313,0.2,0.3
FLIR0314,0.2,0.3
FLIR0315,0.2,0.2
FLIR0316,0.2,0.2
FLIR0317,0.2,0.2
FLIR0318,0.2,0.2
FLIR0319,0.1,0.3
FLIR0320,0.2,0.2
FLIR0321,0.1,0.2
FLIR0322,0.2,0.2
FLIR0323,0.2,0.2
FLIR0324,0.1,0.2
FLIR0325,0.2,0.2
FLIR0326,0.2,0.2
FLIR0327,0.2,0.2
FLIR0328,0.1,0.2
FLIR0329,0.2,0.3
FLIR0330,0.2,0.2
FLIR0331,0.2,0.2
FLIR0332,0.2,0.3
FLIR0333,0.2,0.3
FLIR0334,0.3,0.3
FLIR0335,0.2,0.3
FLIR0336,0.2,0.2
FLIR0337,0.2,0.2
FLIR0338,0.2,0.2
FLIR0339,0.1,0.2
FLIR0340,0.2,0.2
FLIR0341,0.2,0.2
FLIR0342,0.2,0.2
FLIR0343,0.2,0.3
FLIR0344,0.2,0.3
FLIR0345,0.2,0.2
FLIR0346,0.2,0.2
FLIR0347,0.2,0.2
FLIR0348,0.2,0.3
FLIR0349,0.1,0.2
FLIR0350,0.1,0.2
FLIR0351,0.1,0.2
FLIR0352,0.2,0.3
FLIR0353,0.2,0.2
FLIR0354,0.2,0.3
FLIR0355,0.2,0.2
FLIR0356,0.2,0.2
FLIR0357,0.2,0.2
FLIR0358,0.2,0.2
FLIR0359,0.2,0.2
FLIR0360,0.2,0.3
FLIR0361,0.2,0.3
FLIR0362,0.2,0.3
FLIR0363,0.2,0.2
FLIR0364,0.1,0.2
FLIR0365,0.2,0.2
FLIR0366,0.2,0.4
FLIR0367,0.2,0.2
FLIR0368,0.1,0.2
FLIR0369,0.2,0.4
FLIR0370,0.2,0.4
FLIR0371,0.2,0.4
FLIR0372,0.2,0.5
FLIR0373,0.2,0.3
FLIR0374,0.2,0.5
FLIR0375,0.2,0.4
FLIR0376,0.2,0.3
FLIR0377,0.2,0.3
FLIR0378,0.2,0.5
FLIR0379,0.2,0.4
FLIR0380,0.2,0.5
FLIR0381,0.2,0.6
FLIR0382,0.2,0.3
FLIR0383,0.2,0.5
FLIR0384,0.2,0.4
FLIR0385,0.2,0.5
FLIR0386,0.2,0.6
FLIR0387,0.2,0.6
FLIR0388,0.2,0.5
FLIR0389,0.2,0.6
FLIR0390,0.2,0.4
FLIR0391,0.2,0.4
FLIR0392,0.1,0.3
FLIR0393,0.2,0.4
FLIR0394,0.2,0.4
FLIR0395,0.2,0.4
FLIR0396,0.2,0.5
FLIR0397,0.2,0.3
FLIR0398,0.2,0.6
FLIR0399,0.2,0.3
FLIR0400,0.2,0.3
FLIR0401,0.2,0.3
FLIR0402,0.2,0.2
FLIR0403,0.2,0.5
FLIR0404,0.2,0.3
FLIR0405,0.1,0.2
FLIR0406,0.2,0.4
FLIR0407,0.2,0.4
FLIR0408,0.2,0.5
FLIR0409,0.2,0.3
FLIR0410,0.2,0.5
FLIR0411,0.2,0.5
FLIR0412,0.2,0.4
FLIR0413,0.2,0.2
FLIR0414,0.1,0.2
FLIR0415,0.2,0.4
FLIR0416,0.1,0.4
FLIR0417,0.1,0.3
FLIR0418,0.2,0.2
FLIR0419,0.2,0.3
FLIR0420,0.2,0.5
FLIR0421,0.2,0.5
FLIR0422,0.1,0.4
