Image Pair,RGB Score,Thermal Score
03836.png,0.8,0.8
04181.png,0.4,0.3
03188.png,0.8,0.6
02296.png,0.9,0.8
01947.png,0.7,0.8
00481.png,0.7,0.6
01953.png,0.8,0.8
00495.png,0.7,0.3
02282.png,0.9,0.6
03822.png,0.6,0.3
04195.png,0.7,0.3
04142.png,0.7,0.8
02533.png,0.8,0.3
00324.png,0.7,0.6
01984.png,0.8,0.8
00442.png,0.7,0.4
02255.png,1.0,0.6
02241.png,0.9,0.6
01990.png,0.7,0.7
00456.png,0.7,0.6
01748.png,0.9,0.9
00330.png,0.7,0.6
04156.png,0.8,0.2
03639.png,0.7,0.6
02527.png,0.6,0.4
01006.png,0.7,0.4
00318.png,0.7,0.9
03611.png,0.7,0.8
02269.png,0.7,0.5
03177.png,0.8,0.8
01760.png,0.8,0.6
01774.png,0.9,0.7
03163.png,0.7,0.3
03605.png,0.7,0.4
01012.png,0.7,0.6
00683.png,0.7,0.8
02094.png,0.7,0.8
02080.png,0.7,0.6
00697.png,0.8,0.8
01589.png,0.9,0.5
00867.png,0.6,0.6
02916.png,0.8,0.4
02902.png,0.7,0.3
00873.png,0.6,0.3
03349.png,0.8,0.7
02057.png,0.7,0.8
00898.png,0.3,0.8
00640.png,0.7,0.3
00126.png,0.4,0.3
01238.png,0.8,0.5
02731.png,0.8,0.7
02725.png,0.7,0.8
00132.png,0.7,0.4
00654.png,0.7,0.8
02043.png,0.9,0.9
01562.png,0.3,0.5
03375.png,1.0,0.7
03413.png,0.9,0.7
01204.png,0.4,0.5
01210.png,0.6,0.9
02719.png,0.7,0.8
03407.png,0.9,0.6
03361.png,0.8,0.6
01576.png,0.6,0.6
00668.png,0.3,0.3
02686.png,0.9,0.6
03598.png,0.7,0.4
00091.png,0.7,0.5
00085.png,0.8,0.4
02692.png,0.9,0.6
00913.png,0.3,0.7
02862.png,0.6,0.5
02876.png,0.8,0.6
00907.png,0.7,0.4
02123.png,0.8,0.8
00734.png,0.6,0.3
00052.png,0.7,0.6
02645.png,0.7,0.7
02889.png,0.8,0.6
02651.png,0.8,0.8
01358.png,0.8,0.4
00046.png,0.3,0.5
00720.png,0.7,0.7
02137.png,0.9,0.6
03229.png,0.7,0.4
00708.png,0.7,0.8
01416.png,0.8,0.4
03201.png,0.7,0.4
03567.png,0.5,0.5
02679.png,0.9,0.6
01370.png,0.8,0.6
01364.png,0.8,0.4
03573.png,0.7,0.9
03215.png,0.6,0.3
01402.png,0.8,0.9
00293.png,0.7,0.7
03942.png,0.7,0.7
02484.png,1.0,0.3
01833.png,0.4,0.8
01827.png,0.8,0.6
03956.png,0.5,0.7
02490.png,0.9,0.5
01199.png,0.2,0.4
00287.png,0.3,0.4
03981.png,0.7,0.7
02447.png,0.9,0.8
03759.png,0.8,0.8
04036.png,0.5,0.8
00250.png,0.3,0.4
01628.png,0.4,0.4
00536.png,0.7,0.8
02321.png,0.9,0.6
02335.png,1.0,0.4
00522.png,0.7,0.4
00244.png,0.4,0.8
03995.png,0.7,0.9
02453.png,0.9,0.4
04022.png,0.4,0.8
01172.png,0.7,0.4
03765.png,0.4,0.8
03003.png,0.3,0.8
01614.png,0.9,0.3
01600.png,0.9,0.7
03017.png,0.7,0.6
02309.png,0.8,0.8
03771.png,0.8,0.7
00278.png,0.7,0.7
01166.png,0.7,0.6
02308.png,0.9,0.4
03016.png,0.7,0.6
01601.png,0.9,0.3
01167.png,0.6,0.8
00279.png,0.7,0.9
03770.png,0.8,0.7
03764.png,0.8,0.7
01173.png,0.7,0.2
01615.png,0.6,0.8
03002.png,0.5,0.6
00523.png,0.4,0.4
02334.png,0.9,0.9
04023.png,0.3,0.7
02452.png,1.0,0.7
03994.png,0.7,0.9
00245.png,0.9,0.8
00251.png,0.3,0.9
04037.png,0.7,0.7
03758.png,0.7,0.8
02446.png,0.9,0.6
03980.png,0.7,0.3
02320.png,0.9,0.6
00537.png,0.8,0.8
01629.png,0.9,0.4
01826.png,0.6,0.8
00286.png,0.4,0.8
01198.png,0.3,0.6
02491.png,0.7,0.2
03957.png,0.4,0.3
02485.png,0.7,0.5
03943.png,0.7,0.7
00292.png,0.7,0.9
01832.png,0.7,0.6
03572.png,0.7,0.4
01365.png,0.8,0.4
01403.png,0.7,0.9
03214.png,0.7,0.6
03200.png,0.7,0.4
01417.png,0.8,0.4
00709.png,0.7,0.9
01371.png,0.8,0.4
02678.png,0.9,0.6
03566.png,0.4,0.3
00047.png,0.3,0.6
01359.png,0.9,0.5
02650.png,0.6,0.9
02888.png,0.8,0.4
03228.png,0.7,0.4
02136.png,0.7,0.9
00721.png,0.7,0.5
00735.png,0.6,0.5
02122.png,0.8,0.8
02644.png,0.7,0.9
00053.png,0.7,0.2
02877.png,0.7,0.8
00906.png,0.3,0.7
00912.png,0.8,0.6
02863.png,0.7,0.5
02693.png,0.6,0.5
00084.png,0.4,0.6
00090.png,0.5,0.7
03599.png,0.8,0.7
02687.png,0.5,0.7
03406.png,0.9,0.4
02718.png,0.6,0.9
01211.png,0.4,0.5
00669.png,0.4,0.3
01577.png,0.4,0.5
03360.png,0.8,0.7
03374.png,0.8,0.8
01563.png,0.3,0.6
01205.png,0.5,0.6
03412.png,0.8,0.9
00133.png,0.7,0.6
02724.png,0.5,0.9
02042.png,0.4,0.6
00655.png,0.4,0.8
00641.png,0.6,0.3
00899.png,0.6,0.6
02056.png,0.7,0.9
03348.png,0.6,0.7
02730.png,0.7,0.9
01239.png,0.9,0.6
00127.png,0.3,0.9
02903.png,0.7,0.6
00872.png,0.7,0.3
00866.png,0.6,0.7
02917.png,0.8,0.6
01588.png,0.9,0.5
00696.png,0.8,0.8
02081.png,0.7,0.6
02095.png,0.7,0.8
00682.png,0.7,0.4
03162.png,0.7,0.6
01775.png,0.8,0.6
01013.png,0.7,0.3
03604.png,0.7,0.8
03610.png,0.9,0.8
00319.png,0.7,0.8
01007.png,0.7,0.7
01761.png,0.8,0.6
03176.png,0.7,0.7
02268.png,0.9,0.8
01749.png,0.9,0.7
00457.png,0.7,0.3
01991.png,0.7,0.8
02240.png,1.0,0.7
02526.png,0.8,0.8
03638.png,0.7,0.7
04157.png,0.7,0.9
00331.png,0.8,0.4
00325.png,0.7,0.4
02532.png,0.7,0.7
04143.png,0.8,0.8
02254.png,1.0,0.6
00443.png,0.8,0.7
01985.png,0.5,0.8
02283.png,0.8,0.4
00494.png,0.7,0.4
01952.png,0.7,0.8
04194.png,0.8,0.4
03823.png,0.7,0.8
04180.png,0.6,0.8
03837.png,0.6,0.8
00480.png,0.4,0.7
01946.png,0.8,0.8
02297.png,1.0,0.8
03189.png,0.7,0.8
03821.png,0.3,0.7
04196.png,0.8,0.7
01788.png,0.9,0.6
01950.png,0.7,0.8
00496.png,0.7,0.3
02281.png,0.9,0.7
02295.png,0.7,0.8
01944.png,0.7,0.8
00482.png,0.6,0.4
03835.png,0.4,0.8
04182.png,0.7,0.3
01978.png,0.7,0.8
03809.png,0.7,0.7
00333.png,0.7,0.5
04155.png,0.8,0.7
02524.png,0.8,0.6
02242.png,1.0,0.5
01993.png,0.7,0.4
00455.png,0.3,0.7
01987.png,0.7,0.7
00441.png,0.4,0.5
02256.png,0.7,0.7
03148.png,0.9,0.6
04141.png,0.7,0.7
02530.png,0.3,0.5
01039.png,0.6,0.7
00327.png,0.7,0.4
04169.png,0.8,0.3
03606.png,0.9,0.4
02518.png,1.0,0.6
01011.png,0.5,0.6
00469.png,0.7,0.7
01777.png,0.8,0.6
03160.png,0.7,0.9
03174.png,0.7,0.6
01763.png,0.8,0.6
01005.png,0.7,0.4
03612.png,0.9,0.7
02083.png,0.7,0.6
00694.png,0.7,0.8
02929.png,0.8,0.3
00680.png,0.7,0.5
00858.png,0.8,0.6
02097.png,0.8,0.6
03389.png,0.7,0.6
00870.png,0.3,0.9
02901.png,0.7,0.5
02915.png,0.8,0.3
00864.png,0.8,0.7
01549.png,0.7,0.3
00657.png,0.7,0.3
02040.png,0.9,0.6
02726.png,0.5,0.9
03438.png,0.8,0.8
00131.png,0.3,0.8
00125.png,0.4,0.7
02732.png,0.8,0.8
02054.png,0.7,0.9
00643.png,0.8,0.4
03362.png,0.9,0.7
01575.png,0.3,0.6
01213.png,0.7,0.2
03404.png,0.7,0.6
03410.png,0.8,0.4
00119.png,0.3,0.3
01207.png,0.4,0.5
01561.png,0.3,0.6
03376.png,0.7,0.5
02068.png,0.7,0.6
00938.png,0.7,0.9
00086.png,0.7,0.6
01398.png,0.8,0.4
02691.png,0.7,0.6
02849.png,0.7,0.3
02685.png,0.4,0.3
00092.png,0.7,0.3
00904.png,0.7,0.6
02875.png,0.9,0.3
02861.png,0.7,0.6
00910.png,0.8,0.6
00723.png,0.7,0.3
02134.png,0.4,0.8
02652.png,0.8,0.8
00045.png,0.4,0.3
00051.png,0.7,0.6
03558.png,1.0,0.7
02646.png,0.7,0.6
02120.png,0.8,0.8
00737.png,0.7,0.6
01429.png,0.6,0.9
02108.png,0.7,0.6
03216.png,0.9,0.5
01401.png,0.8,0.3
01367.png,0.8,0.4
00079.png,0.7,0.4
03570.png,0.7,0.6
03564.png,0.7,0.6
01373.png,0.8,0.7
01415.png,0.8,0.4
03202.png,0.7,0.4
03955.png,0.8,0.8
02493.png,0.8,0.5
00284.png,0.7,0.5
01824.png,0.6,0.8
01830.png,0.6,0.5
00290.png,0.4,0.8
03799.png,0.3,0.7
03941.png,0.7,0.8
02487.png,0.9,0.2
03969.png,0.7,0.6
01818.png,0.7,0.3
00247.png,0.4,0.8
01159.png,0.6,0.8
03996.png,0.6,0.9
02450.png,0.9,0.8
04021.png,0.4,0.7
03028.png,0.7,0.8
02336.png,0.7,0.7
00521.png,0.7,0.4
00535.png,0.7,0.8
02322.png,0.9,0.5
03982.png,0.7,0.7
02444.png,0.9,0.7
04035.png,0.7,0.9
00253.png,0.3,0.8
03772.png,0.7,0.8
01165.png,0.7,0.8
01603.png,0.8,0.8
03014.png,0.7,0.3
03000.png,0.7,0.4
01617.png,1.0,0.8
00509.png,0.3,0.3
01171.png,0.6,0.2
02478.png,0.8,0.7
03766.png,0.9,0.7
04009.png,0.3,0.6
00508.png,0.4,0.4
01616.png,0.6,0.7
03001.png,0.3,0.6
04008.png,0.7,0.7
03767.png,0.7,0.7
02479.png,0.4,0.4
01170.png,0.7,0.2
01164.png,0.6,0.3
03773.png,0.8,0.9
03015.png,0.7,0.9
01602.png,0.9,0.8
02323.png,0.9,0.5
00534.png,0.7,0.4
00252.png,0.5,0.6
04034.png,0.6,0.8
02445.png,0.9,0.6
03983.png,0.3,0.3
04020.png,0.6,0.7
02451.png,1.0,0.5
03997.png,0.7,0.5
01158.png,0.3,0.8
00246.png,0.4,0.9
00520.png,0.3,0.8
02337.png,0.9,0.7
03029.png,0.9,0.6
03968.png,0.7,0.7
01819.png,0.7,0.8
01831.png,0.4,0.5
02486.png,0.7,0.6
03940.png,0.8,0.7
03798.png,0.6,0.7
00291.png,0.4,0.9
00285.png,0.9,0.9
02492.png,0.7,0.2
03954.png,0.8,0.3
01825.png,0.5,0.7
01372.png,0.8,0.4
03565.png,0.7,0.5
03203.png,0.7,0.4
01414.png,0.9,0.4
01400.png,0.7,0.3
03217.png,0.8,0.3
02109.png,0.8,0.7
03571.png,0.8,0.6
00078.png,0.4,0.4
01366.png,0.8,0.4
02647.png,0.8,0.8
03559.png,0.7,0.7
00050.png,0.8,0.3
01428.png,0.7,0.7
00736.png,0.7,0.6
02121.png,0.8,0.8
02135.png,0.8,0.6
00722.png,0.7,0.3
00044.png,0.7,0.7
02653.png,0.8,0.8
02860.png,0.7,0.6
00911.png,0.3,0.5
00905.png,0.6,0.5
02874.png,0.7,0.6
00093.png,0.4,0.6
02684.png,0.6,0.6
00939.png,0.8,0.9
02848.png,0.8,0.3
02690.png,0.7,0.6
01399.png,0.7,0.7
00087.png,0.3,0.5
01206.png,0.4,0.6
00118.png,0.3,0.4
03411.png,0.8,0.9
02069.png,0.7,0.6
03377.png,0.7,0.6
01560.png,0.3,0.6
01574.png,0.5,0.6
03363.png,0.9,0.6
03405.png,0.8,0.6
01212.png,0.7,0.9
02733.png,0.4,0.8
00124.png,0.7,0.7
00642.png,0.6,0.3
02055.png,0.7,0.6
02041.png,0.9,0.5
00656.png,0.8,0.3
01548.png,0.3,0.6
00130.png,0.3,0.6
03439.png,0.8,0.8
02727.png,0.4,0.7
02914.png,0.7,0.7
00865.png,0.7,0.8
00871.png,0.7,0.4
02900.png,0.7,0.7
02928.png,0.8,0.3
03388.png,0.7,0.5
02096.png,0.7,0.8
00859.png,0.7,0.7
00681.png,0.7,0.4
00695.png,0.8,0.4
02082.png,0.7,0.6
01762.png,0.8,0.6
03175.png,0.8,0.8
03613.png,0.7,0.7
01004.png,0.7,0.3
01010.png,0.4,0.4
02519.png,1.0,0.5
03607.png,0.7,0.4
04168.png,0.6,0.5
03161.png,0.7,0.8
01776.png,0.8,0.3
00468.png,0.7,0.4
03149.png,0.7,0.5
02257.png,0.9,0.6
00440.png,0.7,0.6
01986.png,0.5,0.5
00326.png,0.7,0.6
01038.png,0.6,0.7
02531.png,0.4,0.7
04140.png,0.7,0.9
02525.png,0.6,0.8
04154.png,0.7,0.8
00332.png,0.7,0.8
00454.png,0.7,0.4
01992.png,0.7,0.4
02243.png,0.9,0.4
01979.png,0.4,0.9
03808.png,0.7,0.7
00483.png,0.6,0.4
01945.png,0.7,0.8
02294.png,0.9,0.8
04183.png,0.3,0.6
03834.png,0.5,0.8
04197.png,0.7,0.6
03820.png,0.7,0.7
02280.png,1.0,0.7
00497.png,0.7,0.4
01951.png,0.7,0.8
01789.png,0.9,0.6
01969.png,0.8,0.3
03818.png,0.7,0.7
00493.png,0.7,0.4
01955.png,0.8,0.8
02284.png,0.7,0.7
03824.png,0.6,0.6
04193.png,0.6,0.3
03830.png,0.7,0.6
04187.png,0.7,0.6
02290.png,0.9,0.8
01799.png,0.7,0.8
00487.png,0.7,0.4
01941.png,0.7,0.8
01772.png,0.9,0.6
03165.png,0.4,0.6
03603.png,0.4,0.9
01014.png,0.7,0.4
01000.png,0.4,0.3
03617.png,0.7,0.8
04178.png,0.6,0.8
02509.png,0.9,0.6
03171.png,0.8,0.4
00478.png,0.7,0.5
01766.png,0.8,0.7
02247.png,0.9,0.6
03159.png,0.7,0.3
00450.png,0.7,0.3
01996.png,0.9,0.6
01028.png,0.7,0.6
00336.png,0.6,0.7
04150.png,0.8,0.8
02521.png,0.9,0.7
04144.png,0.8,0.8
02535.png,0.8,0.7
00322.png,0.4,0.4
00444.png,0.7,0.4
01982.png,0.4,0.8
02253.png,0.9,0.6
02904.png,0.8,0.4
00875.png,0.6,0.4
00861.png,0.3,0.7
02910.png,0.9,0.5
02938.png,0.9,0.8
02086.png,0.7,0.9
03398.png,0.7,0.5
00691.png,0.7,0.4
00849.png,0.3,0.9
00685.png,0.7,0.5
02092.png,0.6,0.6
00108.png,0.7,0.5
01216.png,0.4,0.2
03401.png,0.7,0.5
03367.png,0.8,0.8
02079.png,0.7,0.8
01570.png,0.3,0.7
01564.png,0.3,0.5
03373.png,0.9,0.6
03415.png,0.9,0.7
01202.png,0.4,0.7
02723.png,0.7,0.8
00134.png,0.7,0.7
00652.png,0.4,0.5
02045.png,0.7,0.7
02051.png,0.6,0.7
01558.png,0.4,0.7
00646.png,0.6,0.5
00120.png,0.7,0.6
02737.png,0.8,0.8
03429.png,0.7,0.6
02870.png,0.8,0.6
00901.png,0.6,0.5
00915.png,0.3,0.3
02864.png,0.7,0.3
00083.png,0.7,0.8
02694.png,0.7,0.3
00929.png,0.4,0.6
02680.png,0.9,0.7
02858.png,0.7,0.8
00097.png,0.3,0.4
01389.png,0.8,0.6
01362.png,0.8,0.4
03575.png,0.8,0.4
03213.png,0.7,0.3
01404.png,0.9,0.9
01410.png,0.8,0.4
02119.png,1.0,0.7
03207.png,0.7,0.5
03561.png,0.8,0.7
01376.png,0.8,0.4
00068.png,0.7,0.3
03549.png,1.0,0.7
02657.png,0.7,0.7
00040.png,0.7,0.5
00726.png,0.7,0.6
01438.png,0.4,0.9
02131.png,0.4,0.6
02125.png,0.7,0.8
00732.png,0.8,0.5
00054.png,0.4,0.3
02643.png,0.6,0.7
03978.png,0.7,0.6
01809.png,0.7,0.8
01821.png,0.6,0.7
03788.png,0.3,0.7
02496.png,0.7,0.7
03950.png,0.7,0.7
00281.png,0.3,0.9
00295.png,0.4,0.5
02482.png,0.7,0.8
03944.png,0.7,0.7
01835.png,0.7,0.8
01606.png,1.0,0.8
00518.png,0.7,0.4
03011.png,0.7,0.9
02469.png,0.7,0.5
04018.png,0.3,0.7
03777.png,0.4,0.7
01160.png,0.6,0.5
01174.png,0.6,0.3
