Image Pair,RGB Score,Thermal Score
FLIR2483,0.4,0.7
FLIR2431,0.4,0.6
FLIR2385,0.4,0.6
FLIR2327,0.3,0.4
FLIR2469,0.4,0.5
FLIR2425,0.4,0.7
FLIR2363,0.4,0.5
FLIR2475,0.4,0.6
FLIR2493,0.4,0.4
FLIR2395,0.4,0.8
FLIR2433,0.4,0.4
FLIR2367,0.4,0.4
FLIR2465,0.4,0.5
FLIR2389,0.4,0.6
FLIR2319,0.4,0.7
FLIR2453,0.4,0.7
FLIR2417,0.4,0.7
FLIR2347,0.4,0.7
FLIR2463,0.4,0.4
FLIR2435,0.4,0.7
FLIR2415,0.4,0.9
FLIR2449,0.5,0.5
FLIR2429,0.4,0.6
FLIR2333,0.4,0.4
FLIR2461,0.4,0.6
FLIR2323,0.4,0.6
FLIR2375,0.4,0.4
FLIR2335,0.4,0.5
FLIR2373,0.4,0.4
FLIR2379,0.5,0.5
FLIR2355,0.4,0.6
FLIR2353,0.4,0.7
FLIR2421,0.4,0.5
FLIR2455,0.4,0.6
FLIR2477,0.4,0.4
FLIR2419,0.4,0.6
FLIR2397,0.4,0.7
FLIR2331,0.4,0.5
FLIR2409,0.4,0.4
FLIR2501,0.4,0.7
FLIR2383,0.4,0.6
FLIR2439,0.4,0.7
FLIR2423,0.4,0.4
FLIR2403,0.4,0.7
FLIR2391,0.4,0.6
FLIR2329,0.4,0.5
FLIR2427,0.4,0.6
FLIR2437,0.3,0.4
FLIR2467,0.4,0.5
FLIR2399,0.4,0.6
FLIR2321,0.4,0.7
FLIR2377,0.4,0.4
FLIR2369,0.4,0.6
FLIR2473,0.4,0.4
FLIR2407,0.4,0.4
FLIR2495,0.4,0.4
FLIR2413,0.4,0.7
FLIR2381,0.4,0.4
FLIR2357,0.4,0.7
FLIR2371,0.4,0.5
FLIR2447,0.3,0.7
FLIR2441,0.4,0.5
FLIR2443,0.4,0.5
FLIR2387,0.4,0.7
FLIR2451,0.4,0.5
FLIR2487,0.4,0.7
FLIR2459,0.4,0.6
FLIR2317,0.6,0.7
FLIR2325,0.4,0.4
FLIR2485,0.4,0.7
FLIR2349,0.4,0.7
FLIR2499,0.4,0.6
FLIR2503,0.3,0.7
FLIR2365,0.5,0.7
FLIR2351,0.4,0.7
FLIR2491,0.4,0.4
FLIR2401,0.4,0.5
FLIR2339,0.4,0.7
FLIR2337,0.4,0.6
FLIR2471,0.4,0.7
FLIR2393,0.4,0.4
FLIR2343,0.4,0.6
FLIR2361,0.5,0.6
FLIR2405,0.4,0.6
FLIR2341,0.5,0.7
FLIR2359,0.5,0.7
FLIR2481,0.5,0.7
FLIR2445,0.4,0.5
FLIR2489,0.4,0.7
FLIR2457,0.4,0.9
FLIR2479,0.4,0.7
FLIR2497,0.4,0.7
FLIR2345,0.5,0.7
